Minimum Temperature,Maximum Temperature,Humidity,Precipitation
-0.7,23.7,61,6.9
15.6,43.0,64,11.8
-0.4,47.9,67,5.4
8.5,44.4,70,4.8
13.6,45.6,85,0.7
9.5,37.4,39,5.2
2.9,44.7,78,13.9
8.5,47.9,55,5.0
-0.6,25.2,80,7.9
12.2,20.0,61,0.1
5.3,41.1,72,1.3
14.1,39.2,62,14.4
5.6,46.6,79,0.2
5.7,25.5,63,2.7
15.8,32.6,77,9.2
7.0,30.5,40,13.4
12.2,30.4,65,2.1
11.9,44.1,44,5.6
6.4,35.8,44,10.1
-1.0,32.1,40,3.1
12.6,38.4,68,9.1
5.8,29.1,81,6.6
2.5,34.7,51,11.2
1.9,40.4,64,12.3
8.1,37.1,67,5.5
13.6,40.6,67,13.9
-0.4,45.2,39,0.2
5.9,25.1,63,6.2
1.5,29.7,65,15.4
17.1,43.7,87,10.7
4.5,33.6,45,0.9
7.5,28.3,54,1.1
4.2,43.2,55,1.4
7.5,22.4,48,3.3
-2.9,26.1,86,13.8
-2.4,36.6,87,7.9
10.1,37.1,89,5.0
-1.8,32.0,81,1.4
8.1,47.4,77,7.5
15.4,23.8,39,9.5
10.0,21.7,65,4.5
7.6,22.5,85,5.4
14.6,24.1,55,4.6
14.2,37.6,77,13.5
12.5,21.5,65,8.9
12.5,25.2,89,7.7
12.8,28.8,74,2.8
13.4,35.6,65,7.9
9.9,33.1,68,9.7
13.5,42.6,44,0.1
16.8,30.1,49,6.7
10.4,36.5,81,2.7
0.4,48.1,67,6.1
14.3,28.3,72,11.9
-0.4,39.0,41,10.4
0.6,35.6,60,9.9
3.9,37.3,71,14.2
16.9,43.3,84,7.4
15.7,23.8,45,0.2
5.6,39.6,42,1.7
16.2,42.1,67,3.6
4.8,42.3,44,2.6
-0.2,43.5,56,3.2
2.8,28.6,41,13.7
5.4,28.4,75,6.8
9.8,48.4,60,6.1
5.8,33.1,52,13.5
-0.7,26.5,75,0.4
6.5,41.6,52,9.7
-0.0,33.0,88,9.9
1.0,22.4,74,4.1
4.7,47.5,39,11.2
4.9,43.0,86,14.3
14.8,39.3,80,3.1
-1.8,25.8,50,0.0
14.6,38.4,88,8.0
11.9,19.2,84,12.6
12.1,46.3,62,0.3
16.8,40.4,77,0.2
8.6,33.4,57,5.0
17.7,27.3,60,0.4
5.9,29.3,74,14.7
-0.3,40.6,53,13.5
-0.1,48.8,45,14.1
15.8,46.3,38,10.2
12.7,39.5,42,4.2
10.9,48.0,61,11.7
1.7,48.1,54,10.2
12.5,23.2,74,14.7
1.2,32.4,55,7.7
4.9,41.1,38,2.5
3.2,30.2,85,9.3
-0.3,32.3,86,8.2
13.0,27.8,64,9.1
13.4,22.9,58,0.9
6.5,34.2,68,6.3
1.9,30.7,51,1.8
0.3,28.3,49,9.9
11.0,29.5,78,3.9
15.3,26.6,55,0.1
0.5,25.7,74,0.4
-1.2,46.7,70,9.2
16.5,19.9,47,8.6
0.7,20.8,85,15.3
6.4,46.7,49,1.2
10.8,33.2,54,12.8
15.0,20.3,64,2.8
11.7,37.6,39,3.6
13.2,42.8,57,8.3
10.5,29.4,86,13.4
-2.7,47.6,78,15.2
5.8,19.3,70,3.7
6.0,19.6,53,7.1
3.4,18.7,54,11.4
13.8,40.4,64,8.9
4.5,33.6,77,9.1
7.0,48.6,85,2.7
17.1,45.9,47,8.2
8.9,41.1,40,10.1
16.3,29.0,74,13.4
10.8,26.4,45,1.3
5.3,43.0,81,5.8
0.8,35.1,85,3.2
5.5,25.0,45,14.3
